image,mask_type,method,psnr,ssim,rmse,mae,psnr_missing,rmse_missing,mae_missing,runtime,status,ae_weight,lambda_dct,lambda_wavelet,lambda_tv,lambda_ae,patch_size,stride,latent_dim
barbara,random50,tv_ae,30.489555664322534,0.9531349551990864,0.029889745637774467,0.009534811601042747,27.464386237293038,0.04234290870397324,0.01913502626121044,1.2280726432800293,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
barbara,irregular,corrupted,19.81618796891548,0.9258005602958758,0.10213876515626907,0.016895968466997147,5.091378969953806,0.5564562843663026,0.501491904258728,0.0,ok,,,,,,,,
barbara,irregular,dct,33.19697329917464,0.9811971499005198,0.021885240450501442,0.0027104252949357033,18.47216461602919,0.11923170907343665,0.08044856786727905,0.37346529960632324,ok,,0.01,,,,8.0,4.0,16.0
barbara,irregular,wavelet,27.24981670655531,0.9647981106567749,0.043401941657066345,0.005724170710891485,12.525008239043762,0.23645559136373545,0.16990002989768982,0.4712557792663574,ok,,,0.01,,,8.0,4.0,16.0
barbara,irregular,tv,32.88069136512028,0.9853761923944668,0.0226968415081501,0.002282755682244897,18.155882685901062,0.1236533440209161,0.0677548348903656,0.4006693363189697,ok,,,,0.01,,8.0,4.0,16.0
barbara,irregular,ae_only,30.388337506398525,0.9827999447079472,0.030240094289183617,0.003055470297113061,15.663528873359052,0.16474929177844017,0.09068989753723145,1.1390800476074219,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
barbara,irregular,tv_ae,32.968480541358474,0.9856622250291632,0.022468598559498787,0.002259659580886364,18.243672011555795,0.12240985948939502,0.06706931442022324,1.1846609115600586,ok,D:\pythonProject\MMproject\results\ae_weights\barbara_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
house,random10,corrupted,13.551216982494998,0.3231002489834336,0.21010634303092957,0.06488826870918274,3.6704380946812742,0.6553572304103046,0.6313120126724243,0.0,ok,,,,,,,,
house,random10,dct,34.49378084047678,0.9609339094168394,0.01884998381137848,0.004531932063400745,24.61300238519921,0.058796284238370154,0.044092144817113876,0.3835279941558838,ok,,0.01,,,,8.0,4.0,16.0
house,random10,wavelet,32.602361743478255,0.9777208186387696,0.023435914888978004,0.004413119051605463,22.72158286124913,0.07310058574894372,0.04293619096279144,0.47740983963012695,ok,,,0.01,,,8.0,4.0,16.0
house,random10,tv,35.35388527921164,0.988112171121228,0.01707283966243267,0.0032285924535244703,25.47310647511294,0.053253073268675205,0.03141167387366295,0.40225791931152344,ok,,,,0.01,,8.0,4.0,16.0
house,random10,ae_only,34.83451907297935,0.9845374099263514,0.018124833703041077,0.003785006934776902,24.953740718941468,0.056534423001152856,0.03682515025138855,1.2757515907287598,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
house,random10,tv_ae,35.437114939434686,0.9881873657765231,0.016910025849938393,0.003234466537833214,25.55633642965637,0.05274522855117296,0.03146882355213165,1.1147525310516357,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
house,random30,corrupted,8.960644540105898,0.16612480553000722,0.3564246892929077,0.18627594411373138,3.6496174493851963,0.656930048856305,0.6327897906303406,0.0,ok,,,,,,,,
house,random30,dct,28.18080747900474,0.8650799378436345,0.0389905720949173,0.015460756607353687,22.869780737161626,0.0718639299170896,0.052521053701639175,0.38771867752075195,ok,,0.01,,,,8.0,4.0,16.0
house,random30,wavelet,26.22941454802239,0.9027779803042433,0.048812299966812134,0.015276612713932991,20.918387649958007,0.08996645695578834,0.05189550668001175,0.44693899154663086,ok,,,0.01,,,8.0,4.0,16.0
house,random30,tv,29.333201321361578,0.954576189657015,0.034146007150411606,0.010696077719330788,24.02217455985738,0.06293486022764057,0.03633517399430275,0.3859865665435791,ok,,,,0.01,,8.0,4.0,16.0
house,random30,ae_only,29.645063550173422,0.9488967809945272,0.03294176235795021,0.011452583596110344,24.334036989709542,0.06071530073627486,0.0389050655066967,1.1846551895141602,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
house,random30,tv_ae,29.50789298352436,0.9553788237171575,0.033466119319200516,0.010591989383101463,24.196865998383853,0.06168175188950023,0.03598157688975334,1.1977765560150146,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
house,random50,corrupted,6.655961187560788,0.09836688528935232,0.4647313058376312,0.31601637601852417,3.6307919450397064,0.6583554009670367,0.6342004537582397,0.0,ok,,,,,,,,
house,random50,dct,24.72269033745406,0.7418303506504429,0.05805845558643341,0.030076345428824425,21.697521054208615,0.08224773508163039,0.06035899743437767,0.3881678581237793,ok,,0.01,,,,8.0,4.0,16.0
house,random50,wavelet,22.520561531050966,0.7298596730651904,0.07481211423873901,0.031823448836803436,19.495392381937947,0.10598157782942882,0.06386518478393555,0.4607563018798828,ok,,,0.01,,,8.0,4.0,16.0
house,random50,tv,26.097696981278755,0.9020071022004266,0.04955815523862839,0.01972433179616928,23.072527892706873,0.07020589906809743,0.0395839586853981,0.43318891525268555,ok,,,,0.01,,8.0,4.0,16.0
house,random50,ae_only,26.86859209726274,0.8950149355572867,0.045349281281232834,0.020688945427536964,23.843422562150913,0.06424345244449987,0.041519805788993835,1.2174749374389648,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
house,random50,tv_ae,26.28615541555854,0.903801789655941,0.04849447309970856,0.01954430714249611,23.260985708508723,0.06869904732418422,0.03922267630696297,1.2383549213409424,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
house,irregular,corrupted,18.86191979124499,0.9268379034062949,0.11399977654218674,0.01957648992538452,4.137111487964757,0.62107553995176,0.5810528993606567,0.0,ok,,,,,,,,
house,irregular,dct,32.41506319314047,0.9740375519843532,0.023946765810251236,0.0032985135912895203,17.69025421782692,0.13046297842953933,0.09790370613336563,0.3838346004486084,ok,,0.01,,,,8.0,4.0,16.0
house,irregular,wavelet,28.78935677412922,0.9673418885113529,0.03635232150554657,0.004726406652480364,14.064548152828163,0.1980489719437861,0.14028522372245789,0.48272085189819336,ok,,,0.01,,,8.0,4.0,16.0
house,irregular,tv,32.27580645555532,0.9873964476427406,0.024333786219358444,0.0029101786203682423,17.550997541880573,0.13257148556333884,0.08637747913599014,0.3866579532623291,ok,,,,0.01,,8.0,4.0,16.0
house,irregular,ae_only,29.77111424535739,0.9760699025063068,0.03246716037392616,0.004007969982922077,15.046305505964867,0.17688244172134854,0.11896119266748428,1.124298095703125,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
house,irregular,tv_ae,32.40076741218929,0.9876567861408163,0.02398620918393135,0.0028591544833034277,17.675958854515407,0.13067787308401707,0.08486302196979523,1.1278893947601318,ok,D:\pythonProject\MMproject\results\ae_weights\house_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
peppers,random10,corrupted,15.688395864882077,0.43751109679579364,0.1642782986164093,0.047974590212106705,5.807617580438269,0.512411798470281,0.4667551517486572,0.0,ok,,,,,,,,
peppers,random10,dct,36.1059772847137,0.9790711140530912,0.0156567320227623,0.0035918904468417168,26.225198841761475,0.04883599694693424,0.03494627773761749,0.37598419189453125,ok,,0.01,,,,8.0,4.0,16.0
peppers,random10,wavelet,32.66059650207193,0.9796313829985326,0.02327931486070156,0.003990518860518932,22.77981782751648,0.07261211864926524,0.038824621587991714,0.4843151569366455,ok,,,0.01,,,8.0,4.0,16.0
peppers,random10,tv,37.87864063447819,0.9938277677682675,0.012766385450959206,0.002162395976483822,27.99786220555385,0.03982051658166443,0.021038418635725975,0.3817112445831299,ok,,,,0.01,,8.0,4.0,16.0
peppers,random10,ae_only,36.21827418770184,0.9897459056273451,0.01545561570674181,0.0029528378508985043,26.337495615743553,0.04820867766528591,0.028728798031806946,1.127561330795288,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
peppers,random10,tv_ae,37.851797057089705,0.9937922963449565,0.01280590146780014,0.0021967156790196896,27.971018175207266,0.039943773577236545,0.021372321993112564,1.0939526557922363,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
peppers,random30,corrupted,11.002514340547283,0.24762187034367564,0.2817566990852356,0.1401350498199463,5.691487754565934,0.5193087165759893,0.4760465919971466,0.0,ok,,,,,,,,
peppers,random30,dct,29.863467968788292,0.9173593975701694,0.03212377801537514,0.012515565380454063,24.55244111163797,0.059207666427412584,0.0425160750746727,0.3612332344055176,ok,,0.01,,,,8.0,4.0,16.0
peppers,random30,wavelet,27.141359395355313,0.9247193578588137,0.043947283178567886,0.013003356754779816,21.830332670009724,0.08099969181635738,0.04417312890291214,0.46887922286987305,ok,,,0.01,,,8.0,4.0,16.0
peppers,random30,tv,31.939497088994703,0.975876673707652,0.02529444545507431,0.0070643676444888115,26.628470277086578,0.0466204526782857,0.023998050019145012,0.3607485294342041,ok,,,,0.01,,8.0,4.0,16.0
peppers,random30,ae_only,31.230689100827817,0.9670543120740979,0.027445144951343536,0.008808529004454613,25.919662391188357,0.050584432310738954,0.02992306463420391,1.1017775535583496,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
peppers,random30,tv_ae,32.036477729759476,0.9761064148031714,0.025013593956828117,0.007079010363668203,26.725451222571404,0.04610281447006902,0.024047793820500374,1.1479675769805908,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
peppers,random50,corrupted,8.784117355438976,0.15664579425258357,0.3637425899505615,0.23511938750743866,5.758947558645326,0.5152910769643695,0.47185155749320984,0.0,ok,,,,,,,,
peppers,random50,dct,25.817565806821804,0.8140471776243068,0.05118252709507942,0.026464127004146576,22.79239616523597,0.07250704262498088,0.053109779953956604,0.37697720527648926,ok,,0.01,,,,8.0,4.0,16.0
peppers,random50,wavelet,22.610800775508682,0.7571436949006993,0.07403890043497086,0.03000420704483986,19.58563122094272,0.10488622116431712,0.06021422520279884,0.46476006507873535,ok,,,0.01,,,8.0,4.0,16.0
peppers,random50,tv,28.381850867168783,0.9457399437729108,0.03809846192598343,0.014236130751669407,25.356681495727145,0.053971678566427504,0.028569912537932396,0.3867924213409424,ok,,,,0.01,,8.0,4.0,16.0
peppers,random50,ae_only,28.32859528413301,0.9341825646681431,0.038332775235176086,0.016199979931116104,25.303425625953146,0.05430361213670292,0.03251108154654503,1.0794308185577393,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
peppers,random50,tv_ae,28.57812540476648,0.9468157934452923,0.03724720701575279,0.014087789691984653,25.552956102243094,0.052765759647938615,0.02827221341431141,1.0873782634735107,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
peppers,irregular,corrupted,22.26968494110947,0.9424840058137871,0.07700444012880325,0.012140970677137375,7.544876286979521,0.41952339605442285,0.3603580892086029,0.0,ok,,,,,,,,
peppers,irregular,dct,33.54965499984682,0.9730867938805344,0.021014412865042686,0.003088783472776413,18.824846375788432,0.11448739697427464,0.0916786715388298,0.377331018447876,ok,,0.01,,,,8.0,4.0,16.0
peppers,irregular,wavelet,28.032014221614947,0.95078702806135,0.03966425731778145,0.005686592776328325,13.307205294288387,0.216092520577222,0.16878466308116913,0.44165587425231934,ok,,,0.01,,,8.0,4.0,16.0
peppers,irregular,tv,34.04768245887459,0.9849905618772414,0.019843390211462975,0.002099359408020973,19.32287393666244,0.10810761919096812,0.06231142207980156,0.35637998580932617,ok,,,,0.01,,8.0,4.0,16.0
peppers,irregular,ae_only,32.67106098164398,0.9772569361326761,0.023251283913850784,0.002845858223736286,17.946252294137036,0.12667397105363915,0.08446837216615677,1.1837494373321533,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
peppers,irregular,tv_ae,34.210306416040524,0.9852671278452911,0.01947532221674919,0.002062425948679447,19.485498017944703,0.10610237349182063,0.06121519207954407,1.1027917861938477,ok,D:\pythonProject\MMproject\results\ae_weights\peppers_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
